symbol,trade_id,setup_date,confirmation_date,entry_date,setup_high,entry_open,source_trusted,entry_jf,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,clock,date,available_at,reference_open_date,outcome_date,reference_open,ret20_pct,mfe20_pct,mae20_pct,outcome_complete,win,interference
TQQQ,TQQQ:2023-01-12,2023-01-10,2023-01-11,2023-01-12,8.855607986450195,9.348915741982776,True,False,False,False,True,False,confirmation,2023-01-11,2023-01-12,2023-01-12,2023-02-09,9.348915741982776,24.59018012996257,40.62502238679389,-4.815566840116503,True,True,False
TQQQ,TQQQ:2023-01-12,2023-01-10,2023-01-11,2023-01-12,8.855607986450195,9.348915741982776,True,False,False,False,True,False,entry,2023-01-12,2023-01-12,2023-01-13,2023-02-10,9.181286676967746,24.256663392085542,43.192510131137055,-3.077719183686889,True,True,False
TQQQ,TQQQ:2023-10-10,2023-10-06,2023-10-09,2023-10-10,18.278077499152904,18.433263727541377,True,False,False,True,False,False,confirmation,2023-10-09,2023-10-10,2023-10-10,2023-11-06,18.433263727541377,1.062478034441483e-05,5.367022336056637,-19.836875182491276,True,True,False
TQQQ,TQQQ:2023-10-10,2023-10-06,2023-10-09,2023-10-10,18.278077499152904,18.433263727541377,True,False,False,True,False,False,entry,2023-10-10,2023-10-10,2023-10-11,2023-11-07,18.8842744654141,0.35955189987562086,2.8505550723409323,-21.751400950497,True,True,False
TQQQ,TQQQ:2023-10-10,2023-10-06,2023-10-09,2023-10-10,18.278077499152904,18.433263727541377,True,False,False,True,False,False,failure,2023-10-19,2023-10-19,2023-10-20,2023-11-16,17.225716997342825,21.424599402758272,23.254514560518746,-14.217328589985833,True,True,False
TQQQ,TQQQ:2024-05-06,2024-04-26,2024-05-03,2024-05-06,27.31175680707246,28.06947194188976,True,False,False,True,False,False,confirmation,2024-05-03,2024-05-06,2024-05-06,2024-06-03,28.06947194188976,9.961668597272189,15.830721029204176,-0.522464727668337,True,True,False
TQQQ,TQQQ:2024-05-06,2024-04-26,2024-05-03,2024-05-06,27.31175680707246,28.06947194188976,True,False,False,True,False,False,entry,2024-05-06,2024-05-06,2024-05-07,2024-06-04,28.70497177381804,8.327648194256865,13.266342832764666,-2.1628160142308395,True,True,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,confirmation,2026-04-09,2026-04-10,2026-04-10,2026-05-07,49.24661095122487,44.529979969289776,48.500820250149744,-1.8233397760285763,True,True,False
TQQQ,TQQQ:2026-04-10,2026-04-08,2026-04-09,2026-04-10,48.80762095871978,49.24661095122487,True,False,False,False,True,False,entry,2026-04-10,2026-04-10,2026-04-13,2026-05-08,48.667942504397715,56.37557406134584,56.43707217892264,-0.6560059508653349,True,True,False
MSFT,MSFT:2022-02-01,2022-01-24,2022-01-31,2022-02-01,297.1099853515625,310.4100036621094,False,False,True,False,False,False,confirmation,2022-01-31,2022-02-01,2022-02-01,2022-03-01,310.4100036621094,-4.980506836985443,1.517345252894975,-12.528595789319485,True,False,True
MSFT,MSFT:2022-02-01,2022-01-24,2022-01-31,2022-02-01,297.1099853515625,310.4100036621094,False,False,True,False,False,False,entry,2022-02-01,2022-02-01,2022-02-02,2022-03-02,309.6300048828125,-3.0488009212734646,1.773080821560824,-12.308243796838859,True,False,True
MSFT,MSFT:2022-02-01,2022-01-24,2022-01-31,2022-02-01,297.1099853515625,310.4100036621094,False,False,True,False,False,False,failure,2022-02-11,2022-02-11,2022-02-14,2022-03-14,293.7699890136719,-5.899168472058969,3.186171569317464,-8.091360555065286,True,False,True
MSFT,MSFT:2023-04-28,2023-04-26,2023-04-27,2023-04-28,299.57000732421875,304.010009765625,False,False,True,False,False,False,confirmation,2023-04-27,2023-04-28,2023-04-28,2023-05-25,304.010009765625,7.207000742837644,7.529352125117961,-0.2302595916400696,True,True,False
