case,rule,mode,symbol,entry_date,exit_date,exit_reason,lifetime_return_pct,entered_before_window
full5y,v5,reset_mark,AAOI,2024-08-20,2024-12-06,signal,335.1005535215784,False
full5y,v5,reset_mark,AAOI,2025-03-13,2025-03-28,trail,3.7543327154057726,False
full5y,v5,reset_mark,AAOI,2025-04-08,2025-04-17,trail,-13.641687661864788,False
full5y,v5,reset_mark,AAOI,2025-05-02,2025-06-02,trail,0.19275887723202434,False
full5y,v5,reset_mark,AAOI,2025-09-16,2025-11-05,trail,3.2947802138015847,False
full5y,v5,reset_mark,AAOI,2025-11-24,2025-12-15,signal,61.521743619341265,False
full5y,v5,reset_mark,AAOI,2026-07-31,2026-08-19,signal,35.44300100700386,False
full5y,v5,carry_mark,TQQQ,2022-01-25,2022-02-22,trail,-9.61779533821755,False
full5y,v5,carry_mark,TQQQ,2022-02-25,2022-03-15,trail,-18.423402686815884,False
full5y,v5,carry_mark,TQQQ,2022-06-16,2022-08-18,signal,61.74645842324886,False
full5y,v5,carry_mark,TQQQ,2022-10-14,2022-11-04,trail,-8.84758457047602,False
full5y,v5,carry_mark,TQQQ,2023-01-12,2023-01-31,signal,12.172843726286352,False
full5y,v5,carry_mark,TQQQ,2023-10-10,2023-10-27,trail,-17.082673786856507,False
full5y,v5,carry_mark,TQQQ,2024-05-06,2024-07-22,signal,28.498565677603448,False
full5y,v5,carry_mark,TQQQ,2024-08-06,2024-09-09,trail,7.986179955415418,False
full5y,v5,carry_mark,TQQQ,2025-04-08,2025-04-22,trail,-4.443444330368063,False
full5y,v5,carry_mark,TQQQ,2026-04-10,2026-06-10,signal,44.928508277909906,False
full5y,v5,carry_mark,MSFT,2022-02-01,2022-06-14,trail,-21.59643001259398,False
full5y,v5,carry_mark,MSFT,2023-04-28,2025-04-04,trail,19.536231482382703,False
full5y,v5,carry_mark,MSFT,2026-04-15,2026-06-10,signal,-0.06198834990690516,False
full5y,v5,carry_mark,NFLX,2022-12-02,2023-02-22,signal,8.481864091411184,False
full5y,v5,carry_mark,NFLX,2023-03-27,2023-07-28,signal,26.615563913745355,False
full5y,v5,carry_mark,NFLX,2023-10-25,2025-01-03,signal,114.25523844028564,False
full5y,v5,carry_mark,NFLX,2025-03-25,2025-11-21,trail,7.260260420213327,False
full5y,v5,carry_mark,NFLX,2026-02-26,2026-04-20,signal,16.521418373581763,False
full5y,v5,carry_mark,YINN,2021-09-23,2021-11-29,trail,-4.459071666167269,False
full5y,v5,carry_mark,YINN,2021-12-31,2022-01-24,signal,6.437643816955396,False
full5y,v5,carry_mark,YINN,2022-02-25,2022-03-08,trail,-26.410032710845943,False
full5y,v5,carry_mark,YINN,2022-03-16,2022-04-12,trail,7.8791593400682425,False
full5y,v5,carry_mark,YINN,2022-08-12,2022-09-07,trail,-11.409216181607517,False
full5y,v5,carry_mark,YINN,2022-10-14,2022-10-25,trail,-34.38185233852087,False
full5y,v5,carry_mark,YINN,2022-11-08,2022-12-08,signal,68.81192274062582,False
full5y,v5,carry_mark,YINN,2023-01-04,2023-02-07,trail,1.6724582841518787,False
full5y,v5,carry_mark,YINN,2023-06-14,2023-06-21,signal,-7.5571202234804735,False
full5y,v5,carry_mark,YINN,2023-10-12,2023-11-30,trail,-24.892376600456224,False
full5y,v5,carry_mark,YINN,2024-01-02,2024-01-17,trail,-26.9742832525411,False
full5y,v5,carry_mark,YINN,2024-08-06,2024-10-09,signal,97.67171273084114,False
full5y,v5,carry_mark,YINN,2025-01-28,2025-02-25,signal,38.25064305242771,False
full5y,v5,carry_mark,YINN,2025-04-10,2025-10-13,signal,75.14225258742859,False
full5y,v5,carry_mark,YINN,2025-12-29,2026-02-27,trail,-10.97577608363296,False
full5y,v5,carry_mark,SNOW,2021-12-09,2022-01-06,trail,-20.634647434082034,False
full5y,v5,carry_mark,SNOW,2022-01-25,2022-02-14,signal,6.612483502114808,False
